Year,CO2 Value (million metric tons)
2020,2.315183
2019,2.658833
2018,2.401849
2017,2.429892
2016,2.256876
2015,1.948517
2014,2.099782
2013,1.337907
2012,1.492802
2011,1.349367
2010,1.264365
2009,1.045535
2008,1.059711
2007,1.091947
2006,0.917087
2005,1.095022
2004,0.909603
2003,0.653737
2002,0.671061
2001,0.733638
2000,0.611584
1999,0.615615
1998,0.57577
1997,1.296387
1996,1.064317
1995,1.061186
1994,0.687616
1993,0.680035
1992,0.827123
1991,1.007001
1990,1.101756
1989,1.058438
1988,1.046986
1987,1.030656
1986,0.678285
1985,0.793179
1984,0.625636
1983,0.564239
1982,0.716618
1981,0.8348
1980,0.844184
1979,0.993489
1978,0.81953
1977,0.829551
1976,0.885964
1975,1.135211
1974,1.061513
1973,1.09937
1972,1.042585
1971,1.043699
1970,0.947467
